"","text"
"1"," doubt    great bass    great extent noise cancellation  decent sound clarity  mindblowing battery   following dissapointed  though  tried  lot  adjustbluetooth range    m pain  ear due  conical budscan  removed wires   bit long  makes  odd  front  pouch provided worst part   low quality  distoring mic  person keeps complaining   voice "
"2","  earphones  unreliable  bought    days meanwhile right side ear buds got cracked automatically   got divided  two parts  sound quality  also   much good  ok one  thing bass   good     boat earphonesguysalso   proof   attached picsplease see  think  buying  unreliable productthanks "
"3"," bought itfor  purchased  second time gifted first one  brother   really goodsound quality  really goodyou  connect  devices   timei connect laptop  mobile bothwhen listening muaic  lappy  u get  call  switches  mobilethis switch  device   good     price  awesomebattery stand    hours      used  continously   hours  one go  battery life  pretty awesomecomfortable  ear "
"4"," sound quality  adorable overall   good     weeks    stopped working  since   never powered     claiming  warrenty    still undergoing "
"5"," awesome good sound quality   hrs battery life  waww look   brought   rupeesbut amazons packageing system   bad  poor packaging flipcarts packaging system  much better  amazon "
"6","  days  charging port isnt working    cant even return  wat     know   one year warranty       days cmon boat please send  new one "
"7","soundbuild qualitybattery life earphones quality  good  strong magnetic lock straps  good quality   earphones wires   good buttons quality  good sound  full  punchy bass   balanced treble   sorrund effect good fitting  ears hope connectivity  good bcz  last boat bluetooth bassheads   connection issues   worth  price hope  packaging  good    bubble wrapping "
"8"," one month usage reviewing  pros sound quality design weight batterycons  bad mic  talking cant use  riding bike  music   loud "
"9"," cant get enough   earphone  bass  amazing   perfect   music lover  battery life  good enough  keep  going  day  fact    connect  laptop  phone    time  switch   makes  experience  much better  use  earphones  lot  voice calls   doesnt let         must buy   music lovers "
"10"," product durability   monthi  lost  bill details   cant claim  warrenty    earphones built quality  bad   stops wrking completely   month sep   nov   life span  dont lose ur bill details incase u want  warranty    purchasing u must register ur product  boats site  replacement  warranty "
"11"," sound quality  good  mean  cant  compared  senheiser  bose   worth  priceperfect  use  running   earbuds   comfortable   wouldnt even feel   plugged  "
"12","  earth   use  buying  product   stop working  one monthyour happiness sailed  like  boat disappointed "
"13","hey    used quite   budget earphones senn soundmagic es  piston jbl  csi boat rockerz  compared  boat rockers     earphones additionally    philips basic  sony   jbl headphone   bought     use   friends  relatives none    compare   loudness bass  overall effect   bt earphones im obviously   audiophile   know  difference   good sound  noise   concern  found    wires hang  lil low   highs could   sharpernitpicking cant fault  otherwise    paired  rn pro "
"14","product stopped working   month time "
"15","right speaker   working   useless productbig disappointment "
"16","received  boat  earphones yesterday eveningsound quality  perfect good combination  bass  treble  feel every beatconnectivity  quick detects  connects easilybattery life  good stayed around  hrsas  received  yesterday evening   playing since      first day review  performance  goodearphones looks solid build quality  good  magnates  really helpful  hold  earphones earphones looks greatearphone wire could  bit long  thats fine    sure  othersdidnt get chance  charge   sure   time  full chargeone thing  observed    hours play time   music stopped playing   middle  sure   gets disconnected     technical problembut overall performance  nice good experience "
"17"," sound  bass quality  good battery life good noise cancelling  good   wire   long  uncomfortable    looking good wire  starting  top  looking bad  anyway everything  ok "
"18"," product   good buy    looking   decent bluetooth earphones   reputed brandsound quality  pretty good  good amount  bassdurability   material seems durable   earphones  light weightbattery life     decent battery life  upto  hours playtime   volumeconnectivity  gets connected  seconds  sometimes gets disconnected within  small rangecall quality  call quality  decent  person    end   call    clearly however  need  place  mic exactly near  mouth sometimes  call gets distorted "
"19"," average product  happy  allpros  good sound qualitycons   uncomfortable silicon buds   soft bought  memory foam bud pair  use itbattery life   ok  give  low battery alarm dies within  minlittle heavy  earsno return possible "
"20","  problem    earpieces   metal    heavier   normal wired earpiece   makes u feel uncomfortable  u start  feel heavier  ur ears   earbuds   sleepery  heavy earpiece  sleepery earbuds  make u irritate  seems like boat  focussed  bass   earphones note  words    bass  much bass  long time  surely give u headache  bought      dont think    worth   senhessier cx wired earphones  way  much better   way  much   u want  buy   buy    sake  wireless feature     sound  build quality "
"21"," product  great intially   real test    months  useso reviewing  product  two months  usepros  earphones drives    rich sound quality inspite   wireless  neck band makes  much  durable    earphones  flat wire   durable   magnets saves    loosing    degree tilted earbuds  fits right     ears   check    degree tilted earphones   day  weather   comfortable       comes   pairs  extra buds  small  big   medium one  already  itcons   connectivity  dual phones    easy  shownconnect  earphone  phone   usualdisconnect    phone   switching   bluetooth  phone anow connect  earphone  phone bswitch   earphone  switch   backopen  bluetooth settings  phone   bfrom  paired device list select boat rockers     device    timeon  earphones   get  hear    connected  boat rockerz  twice   get  cracking sound  ideal     dial  number  dial pad  battery life   accuratesometimes  work hours    battery  sometime   dead   dont rely   battery indicator      battery  charged   hours works constantly   hours  normal volumei hope     help  mark  helpful   sooverall   go     get  exciting deal   product "
"22","dont  guys check  product  selling   received  product  one side   earphone  working       "
"23","got  today really loved  product awesome sound   thinking  buy  airpod   friend suggested     spend  much   ordered    really  amazing  looks good  great sound  doesnt hurt ua ears   totally satisfied    couldnt say  battery    got  today  "
"24","rightside speaker stop working within  days "
"25","overall goodbut   unable  connect two devices simultaneously please guide     thatthank  "
"26","  brought   last week     frankits really awesome beyond  expectationssound quality  like    personal home theatretoo clear  loud enough   listen every single bit  musicand coming  battery backup  said  hrs         working near  one  morei  saygo   "
"27","defective product  working   return  defective product "
"28","although sound quality  good   whats  purpose  buying  wireless earphone   controls buttons doesnt work  bought  product withing  week controls  stop responding cant switch    anythingreplaced  got refund bought another piece different color  worn    dayboth  time seller   appario retail private ltd   leave    wisdom whether  want  buy      never buy  brand  least   platform "
"29","   prime customer  amazon   always purchase  product   much research bought  boat rokerz   sale    trust    blown away     used sony   headphones   price range    k     similar     price range sound quality  battery life seems good  tested   described   update soon durability  perfect fit  pain  discomfort really boat  done  fantastic job  amazing music quality  superb bass   highs mids lows   go   "
"30","battery  faulty "
"31","boat blue tooth  ye doubt voice quality  amazing   days      big fan  boat   days voice    side going   even   days     able  hear anything  one sideboat service     pathetic  raise  complaint almost days back   replacement  rapair   days  reaches   rapir center  sure  many  days boat  take  repair big suggestion   buy  "
"32","awesome bass   even  low volume   bass   thing    earphones   really like  sound  could   clarity  nonetheless   goodgreat battery life  well lasts   hoursthe  grouse       comfortable  changed  plugs   smallest   ears still hurt maybe  takes getting used tospent      great indian sale definitely worth  "
